Player,Squad,Pos_Category,GA_per90,Prog_Total,CrdY_per90,Min,Reliability_Score,Discipline_Score,Player_Rating
Zuriko Davitashvili,Saint-Étienne,Attacker,0.5501618122977346,392,0.0970873786407767,2778,81.22807017543859,85.67961165048543,47.5
Paweł Dawidowicz,Hellas Verona,Midfielder,0.0,52,0.34146341463414637,1845,53.94736842105263,49.634146341463406,17.5
Craig Dawson,Wolves,Defender,0.0,31,0.18518518518518517,971,28.391812865497073,72.68518518518519,36.8
Kevin De Bruyne,Manchester City,Attacker,0.5820105820105821,358,0.10582010582010583,1702,49.76608187134503,84.39153439153439,47.5
Charles De Ketelaere,Atalanta,Attacker,0.6086956521739131,459,0.043478260869565216,2070,60.526315789473685,93.58695652173913,53.1
Rodrigo De Paul,Atlético Madrid,Midfielder,0.3418803418803419,380,0.29914529914529914,2106,61.578947368421055,55.876068376068375,43.0
Lorenzo De Silvestri,Bologna,Defender,0.0847457627118644,80,0.0847457627118644,1060,30.994152046783626,87.5,43.8
Koni De Winter,Genoa,Defender,0.12658227848101267,76,0.25316455696202533,2135,62.42690058479532,62.65822784810127,51.9
Alessandro Deiola,Cagliari,Midfielder,0.18867924528301885,87,0.3773584905660377,1432,41.87134502923976,44.339622641509436,21.5
Romain Del Castillo,Brest,Attacker,0.7142857142857143,196,0.0,1259,36.812865497076025,100.0,50.0
Enrico Del Prato,Parma,Defender,0.12232415902140671,120,0.24464831804281342,2947,86.16959064327486,63.91437308868502,65.3
Liam Delap,Ipswich Town,Attacker,0.4861111111111111,201,0.3819444444444444,2593,75.81871345029239,43.66319444444444,32.5
Fisayo Dele-Bashiru,Lazio,Attacker,0.38095238095238093,106,0.0,947,27.690058479532166,100.0,33.7
Ousmane Dembélé,Paris S-G,Attacker,1.40625,516,0.052083333333333336,1730,50.58479532163743,92.31770833333334,86.9
Ermedin Demirović,Stuttgart,Attacker,0.7766990291262136,166,0.0970873786407767,1855,54.239766081871345,85.67961165048543,49.4
Sepp van den Berg,Brentford,Defender,0.0,119,0.10452961672473868,2586,75.6140350877193,84.58188153310104,66.2
Arthur Desmas,Le Havre,Goalkeeper,0.0,0,0.1111111111111111,1620,47.368421052631575,83.61111111111111,58.2
Michele Di Gregorio,Juventus,Goalkeeper,0.0,0,0.0,2970,86.8421052631579,100.0,90.8
Giovanni Di Lorenzo,Napoli,Defender,0.13513513513513514,437,0.16216216216216217,3330,97.36842105263158,76.08108108108108,82.6
Boulaye Dia,Lazio,Attacker,0.49586776859504134,188,0.08264462809917356,2177,63.65497076023392,87.80991735537191,39.1
Bafodé Diakité,Lille,Defender,0.16286644951140067,108,0.26058631921824105,2766,80.87719298245614,61.563517915309454,61.7
Oumar Diakité,Reims,Attacker,0.2762430939226519,161,0.3314917127071823,1628,47.60233918128655,51.10497237569061,23.9
Amad Diallo,Manchester Utd,Attacker,0.6635071090047393,369,0.23696682464454974,1901,55.58479532163743,65.04739336492891,48.2
Assane Diao,Como,Attacker,0.6474820143884892,202,0.14388489208633093,1252,36.60818713450292,78.77697841726618,44.3
Habib Diarra,Strasbourg,Attacker,0.3448275862068965,291,0.22988505747126436,2352,68.77192982456141,66.0919540229885,33.0
Moussa Diarra,Alavés,Defender,0.0,113,0.2898550724637681,1866,54.56140350877193,57.2463768115942,47.3
Rúben Dias,Manchester City,Defender,0.0,211,0.15873015873015872,2271,66.40350877192982,76.58730158730158,61.5
Brahim Díaz,Real Madrid,Attacker,0.38961038961038963,223,0.0,1385,40.49707602339181,100.0,37.8
Luis Díaz,Liverpool,Attacker,0.6741573033707865,511,0.0749063670411985,2399,70.14619883040936,88.95131086142321,56.7
Pedro Díaz,Rayo Vallecano,Midfielder,0.2222222222222222,138,0.14814814814814814,1211,35.4093567251462,78.14814814814814,34.9
Tyler Dibling,Southampton,Attacker,0.09615384615384615,229,0.28846153846153844,1874,54.795321637426895,57.45192307692308,19.8
Diego,Leganés,Attacker,0.22556390977443608,74,0.15037593984962405,1195,34.941520467836256,77.81954887218046,23.1
Eric Dier,Bayern Munich,Defender,0.18404907975460122,86,0.06134969325153374,1463,42.77777777777778,90.95092024539878,50.9
Lucas Digne,Aston Villa,Defender,0.1532567049808429,222,0.1532567049808429,2351,68.74269005847952,77.39463601532567,63.2
Federico Dimarco,Inter,Attacker,0.4545454545454546,362,0.12396694214876033,2177,63.65497076023392,81.71487603305785,42.1
Eren Dinkçi,Freiburg,Attacker,0.22556390977443608,139,0.07518796992481203,1196,34.97076023391813,88.90977443609023,26.8
Sinaly Diomande,Auxerre,Defender,0.23148148148148145,88,0.27777777777777773,1945,56.87134502923976,59.02777777777779,48.4
Issa Diop,Fulham,Defender,0.0,34,0.1342281879194631,1339,39.152046783625735,80.20134228187919,44.5
Sofiane Diop,Nice,Attacker,0.847457627118644,160,0.2542372881355932,1064,31.11111111111111,62.5,48.6
